307,973
443,723
470,307
723,470
973,470
3,764
111,3
451,487
487,111
488,451
523,487
647,523
764,523
595,764
764,595
3,111
111,3
451,487
487,451
488,451
523,487
307,443
443,307
470,443
723,307
973,470
26,738
238,628
570,26
595,764
628,570
647,738
738,628
764,26
3,595
111,488
451,487
487,705
488,111
523,595
595,451
705,595
961,523
26,570
238,26
570,238
628,26
3,111
111,523
451,3
487,451
488,111
523,111
3,487
111,488
451,764
487,488
488,487
523,451
595,3
764,487
3,488
111,3
451,488
487,451
488,111
523,487
598,729
628,598
729,628
26,570
238,570
570,26
628,26
3,488
111,487
451,523
487,488
488,3
523,488
48,885
595,610
610,885
764,885
885,973
973,595
402,729
598,729
628,729
729,598
778,402
3,523
111,451
451,488
487,523
488,523
523,111
3,523
111,523
451,111
487,488
488,487
523,488
111,451
238,395
395,488
451,111
487,451
488,395
523,111
402,778
778,402
3,487
111,523
451,3
487,523
488,487
523,487
3,451
111,487
247,523
443,247
451,111
487,247
523,487
634,111
3,111
111,487
451,487
487,523
488,487
523,3
307,723
443,629
470,629
480,629
595,973
629,480
634,595
723,443
764,629
950,998
973,307
998,443
402,764
647,738
705,764
738,764
764,961
961,402
506,764
764,506
26,628
238,628
570,26
628,570
595,764
764,595
3,488
111,523
487,3
488,764
523,3
738,487
764,111
598,729
628,598
729,628
247,443
443,998
470,598
480,443
598,634
629,998
634,247
729,480
950,247
998,729
3,488
111,487
451,488
487,488
488,487
523,111
26,628
238,247
247,470
443,634
470,570
570,443
628,634
634,443
48,470
402,48
470,973
610,402
778,885
885,973
973,48
307,628
443,729
470,729
598,628
628,443
723,628
729,973
973,729
3,487
111,451
451,629
480,629
487,3
488,111
523,3
629,451
634,523
998,629
3,451
111,3
451,487
487,523
488,523
523,111
3,487
111,523
451,487
487,451
488,111
523,487
307,470
470,307
723,973
973,307
3,647
111,647
451,3
487,488
488,487
523,3
647,488
738,3
764,451
307,443
443,729
598,729
723,443
729,307
973,723
506,764
647,764
738,764
764,738
26,480
238,26
402,238
480,570
570,950
628,998
634,238
950,402
998,628
169,432
423,647
432,423
647,423
3,488
111,523
487,111
488,523
523,488
3,451
26,3
111,26
238,451
451,595
487,595
488,111
523,488
570,26
595,111
628,488
764,628
3,487
111,523
451,111
487,488
488,487
523,487
247,634
470,247
634,247
307,443
443,598
470,598
598,470
628,729
723,470
729,723
973,307
506,764
647,738
738,764
764,506
3,451
111,523
451,487
487,523
488,451
523,111
3,451
111,3
451,111
487,111
488,523
523,488
3,973
111,487
451,523
470,111
487,470
488,451
523,723
723,523
973,3
307,764
443,647
470,307
647,738
723,647
738,307
764,973
973,738
3,487
111,487
451,111
487,488
488,451
523,451
3,451
111,487
451,487
487,111
488,487
523,451
3,487
111,451
451,488
487,111
488,487
523,487
3,111
111,488
451,3
487,451
488,3
523,488
570,826
628,803
803,826
826,570
883,803
48,506
470,973
506,973
610,973
885,973
973,48
147,764
647,857
738,647
764,857
857,764
3,523
111,487
451,523
487,523
488,111
523,487
307,723
443,307
470,723
723,973
973,470
402,778
778,402
3,451
111,3
451,488
487,488
488,451
523,451
402,738
705,764
738,764
764,705
961,402
595,764
764,595
26,238
147,570
238,26
570,147
628,764
764,857
857,238
480,629
629,998
950,480
998,629
3,111
111,3
451,523
487,488
488,3
523,451
147,973
307,857
443,147
470,764
723,857
764,307
857,764
973,857
3,451
111,487
451,111
487,488
488,523
523,3
3,451
111,451
451,488
487,451
488,487
523,488
647,738
738,647
764,647
3,487
111,451
451,488
487,3
488,3
523,488
402,506
506,778
778,402
3,111
111,451
451,488
487,488
488,523
523,451
3,111
111,647
451,3
487,523
488,111
523,738
647,523
738,451
764,488
3,738
111,451
451,764
487,738
488,647
523,451
647,523
738,451
764,488
3,147
111,487
147,451
451,764
487,3
488,523
523,451
764,147
857,147
307,723
443,973
470,443
723,307
973,443
598,628
628,598
729,598
26,307
238,443
307,26
443,973
570,723
598,26
628,570
723,570
729,628
973,570
3,451
111,488
451,3
487,488
488,3
523,111
3,443
111,523
307,111
443,111
451,973
487,488
488,973
523,973
723,523
973,523
402,778
647,402
764,647
778,402
3,488
111,3
451,3
487,111
488,487
523,488
247,634
470,247
634,470
3,111
111,451
451,111
487,111
488,451
523,488
3,487
111,523
451,523
487,3
488,451
523,451
598,628
628,729
729,598
3,488
111,3
451,3
487,111
488,111
523,488
3,111
111,451
451,738
487,764
488,111
523,647
647,111
738,487
764,523
3,523
111,487
451,487
487,451
488,451
523,487
647,764
738,647
764,647
26,764
238,26
506,738
570,506
628,506
647,764
738,764
764,738
3,488
111,523
451,3
487,451
488,111
523,111
307,973
443,595
470,595
595,443
723,973
764,307
973,307
402,778
595,402
778,595
3,402
111,402
402,3
451,111
487,961
488,705
523,3
705,451
961,488
3,487
111,3
238,487
395,3
451,395
487,111
488,111
523,451
3,451
111,451
451,3
487,451
488,451
523,487
3,451
111,451
451,487
487,523
488,451
523,487
111,451
451,523
487,111
488,487
506,488
523,451
480,950
629,634
634,480
950,634
998,950
247,634
443,634
470,506
506,443
634,470
307,973
443,470
470,443
723,973
973,723
647,764
738,764
764,738
247,595
443,470
470,443
595,634
634,443
764,634
506,764
595,506
764,595
307,729
443,729
470,973
598,470
628,723
723,307
729,598
973,628
3,480
111,998
451,998
480,629
487,950
488,480
523,451
629,523
634,950
950,480
998,629
3,480
111,451
451,480
480,764
487,488
488,595
523,488
595,764
764,451
402,778
778,402
443,470
470,973
723,443
973,470
506,764
647,738
738,506
764,738
3,451
111,451
451,488
487,451
488,570
523,488
570,3
628,883
803,3
826,803
883,451
402,961
595,705
705,961
764,402
961,595
26,238
238,628
395,570
402,764
570,628
595,570
628,764
764,395
647,764
738,764
764,738
480,634
629,998
634,629
950,629
998,480
598,628
628,729
729,628
3,523
111,3
451,487
487,523
488,111
523,487
480,950
629,950
634,629
950,480
998,629
238,764
395,238
647,395
738,395
764,647
595,764
764,595
3,402
111,3
402,451
443,402
451,402
470,443
487,778
488,443
523,470
634,470
778,470
26,570
238,26
570,628
598,729
628,598
729,26
247,480
443,247
470,443
480,950
634,950
950,998
998,480
3,451
111,451
451,3
487,523
523,111
3,443
111,487
307,488
443,488
451,443
470,973
487,111
488,470
523,470
723,443
973,523
247,443
443,247
470,443
634,443
169,647
423,647
432,423
647,423
3,487
111,487
451,111
487,3
488,451
402,778
778,402
3,111
111,523
451,3
487,523
488,451
523,111
402,738
480,778
629,402
647,738
738,998
764,738
778,480
998,402
169,647
402,169
423,961
647,169
705,423
961,169
26,628
238,628
506,26
570,506
628,506
480,634
629,480
634,950
950,629
998,629
238,778
395,238
778,395
307,470
443,470
470,723
723,443
705,961
961,705
3,111
111,487
451,111
487,3
488,111
523,451
961,451
26,610
48,570
238,628
470,885
570,238
610,628
628,973
885,470
973,48
3,488
451,523
487,523
488,451
523,451
169,705
402,705
506,628
598,705
628,647
647,402
705,169
729,169
961,628
3,487
111,451
451,487
487,3
488,3
523,451
480,629
629,634
634,738
738,950
764,950
950,738
998,738
628,729
729,628
26,238
197,998
238,570
570,628
628,197
634,570
998,26
307,973
443,723
470,723
723,443
973,307
307,470
443,723
470,307
723,307
973,443
3,488
111,3
451,111
487,488
488,487
523,487
307,443
443,307
470,723
723,307
973,723
26,628
238,570
570,628
628,238
480,998
629,480
634,629
950,998
998,480
3,111
111,3
451,111
487,488
488,3
523,451
307,973
470,973
723,307
973,723
3,247
111,3
247,451
451,488
487,3
488,523
506,111
523,487
578,487
629,3
634,523
998,247
598,628
628,729
729,598
307,723
443,723
470,307
723,307
973,470
480,998
629,634
634,998
950,629
998,629
247,506
443,470
470,634
506,470
634,506
3,598
111,628
487,729
488,3
523,3
598,729
628,111
729,628
3,523
111,523
451,487
487,523
488,451
506,111
523,487
3,764
111,488
451,3
487,488
488,3
523,111
595,451
764,488
595,764
764,595
247,443
443,470
470,247
634,247
3,111
111,488
451,3
487,488
488,451
523,451
3,487
111,487
451,3
487,451
488,487
523,3
3,487
111,598
451,598
487,111
488,628
523,487
598,729
628,523
729,598
3,111
111,523
451,487
487,111
488,111
523,3
307,973
402,307
443,470
470,778
778,973
973,402
3,487
111,3
451,111
487,523
488,487
523,451
3,488
111,488
