Body,Implies,Head,Support,Confidence
{'blue-collar'}, --> ,{'admin.'},0.6025641025641025,0.9591836734693877
{'admin.'}, --> ,{'blue-collar'},0.6025641025641025,0.9215686274509803
{'entrepreneur'}, --> ,{'admin.'},0.5256410256410257,0.9761904761904763
{'admin.'}, --> ,{'entrepreneur'},0.5256410256410257,0.803921568627451
{'housemaid'}, --> ,{'admin.'},0.6410256410256411,0.8474576271186441
{'admin.'}, --> ,{'housemaid'},0.6410256410256411,0.9803921568627452
{'management'}, --> ,{'admin.'},0.6025641025641025,0.9215686274509803
{'admin.'}, --> ,{'management'},0.6025641025641025,0.9215686274509803
{'retired'}, --> ,{'admin.'},0.5512820512820513,0.6417910447761195
{'admin.'}, --> ,{'retired'},0.5512820512820513,0.8431372549019608
{'self-employed'}, --> ,{'admin.'},0.5769230769230769,1.0
{'admin.'}, --> ,{'self-employed'},0.5769230769230769,0.8823529411764705
{'admin.'}, --> ,{'services'},0.5384615384615384,0.8235294117647058
{'services'}, --> ,{'admin.'},0.5384615384615384,0.9767441860465115
{'technician'}, --> ,{'admin.'},0.6153846153846154,0.96
{'admin.'}, --> ,{'technician'},0.6153846153846154,0.9411764705882353
{'admin.'}, --> ,{'unemployed'},0.5512820512820513,0.8431372549019608
{'unemployed'}, --> ,{'admin.'},0.5512820512820513,1.0
{'unknown'}, --> ,{'admin.'},0.5641025641025641,0.9166666666666666
{'admin.'}, --> ,{'unknown'},0.5641025641025641,0.8627450980392156
{'entrepreneur'}, --> ,{'blue-collar'},0.5384615384615384,1.0
{'blue-collar'}, --> ,{'entrepreneur'},0.5384615384615384,0.8571428571428571
{'housemaid'}, --> ,{'blue-collar'},0.6153846153846154,0.8135593220338984
{'blue-collar'}, --> ,{'housemaid'},0.6153846153846154,0.979591836734694
{'blue-collar'}, --> ,{'management'},0.5897435897435898,0.9387755102040817
{'management'}, --> ,{'blue-collar'},0.5897435897435898,0.9019607843137255
{'blue-collar'}, --> ,{'retired'},0.5256410256410257,0.8367346938775511
{'retired'}, --> ,{'blue-collar'},0.5256410256410257,0.6119402985074628
{'self-employed'}, --> ,{'blue-collar'},0.5512820512820513,0.9555555555555557
{'blue-collar'}, --> ,{'self-employed'},0.5512820512820513,0.8775510204081634
{'blue-collar'}, --> ,{'services'},0.5512820512820513,0.8775510204081634
{'services'}, --> ,{'blue-collar'},0.5512820512820513,1.0
{'technician'}, --> ,{'blue-collar'},0.6025641025641025,0.9399999999999998
{'blue-collar'}, --> ,{'technician'},0.6025641025641025,0.9591836734693877
{'blue-collar'}, --> ,{'unemployed'},0.5384615384615384,0.8571428571428571
{'unemployed'}, --> ,{'blue-collar'},0.5384615384615384,0.9767441860465115
{'unknown'}, --> ,{'blue-collar'},0.5256410256410257,0.8541666666666666
{'blue-collar'}, --> ,{'unknown'},0.5256410256410257,0.8367346938775511
{'entrepreneur'}, --> ,{'housemaid'},0.5256410256410257,0.9761904761904763
{'housemaid'}, --> ,{'entrepreneur'},0.5256410256410257,0.6949152542372882
{'entrepreneur'}, --> ,{'management'},0.5128205128205128,0.9523809523809523
{'management'}, --> ,{'entrepreneur'},0.5128205128205128,0.784313725490196
{'entrepreneur'}, --> ,{'self-employed'},0.5128205128205128,0.9523809523809523
{'self-employed'}, --> ,{'entrepreneur'},0.5128205128205128,0.8888888888888888
{'entrepreneur'}, --> ,{'services'},0.5256410256410257,0.9761904761904763
{'services'}, --> ,{'entrepreneur'},0.5256410256410257,0.9534883720930232
{'technician'}, --> ,{'entrepreneur'},0.5384615384615384,0.8399999999999999
{'entrepreneur'}, --> ,{'technician'},0.5384615384615384,1.0
{'entrepreneur'}, --> ,{'unemployed'},0.5,0.9285714285714286
{'unemployed'}, --> ,{'entrepreneur'},0.5,0.9069767441860465
{'unknown'}, --> ,{'entrepreneur'},0.5,0.8125
{'entrepreneur'}, --> ,{'unknown'},0.5,0.9285714285714286
{'housemaid'}, --> ,{'management'},0.6282051282051282,0.8305084745762712
{'management'}, --> ,{'housemaid'},0.6282051282051282,0.9607843137254901
{'housemaid'}, --> ,{'retired'},0.6666666666666666,0.8813559322033898
{'retired'}, --> ,{'housemaid'},0.6666666666666666,0.7761194029850746
{'self-employed'}, --> ,{'housemaid'},0.5769230769230769,1.0
{'housemaid'}, --> ,{'self-employed'},0.5769230769230769,0.7627118644067796
{'housemaid'}, --> ,{'services'},0.5384615384615384,0.711864406779661
{'services'}, --> ,{'housemaid'},0.5384615384615384,0.9767441860465115
{'technician'}, --> ,{'housemaid'},0.6153846153846154,0.96
{'housemaid'}, --> ,{'technician'},0.6153846153846154,0.8135593220338984
{'housemaid'}, --> ,{'unemployed'},0.5512820512820513,0.728813559322034
