TID,Sex,Price,Category,Color,Size,Brand,Material,Origin,Sales_channel,Season
0,male,9,11,1,5,5,4,4,2,3
1,male,5,0,0,3,0,5,0,2,0
2,male,1,10,6,2,5,0,1,1,2
3,male,9,7,6,2,6,3,0,0,1
4,female,12,10,2,2,7,8,6,2,0
5,female,8,5,2,1,3,7,1,3,1
6,female,14,9,6,6,7,4,1,2,2
7,female,1,11,4,2,6,8,1,1,1
8,male,14,0,1,7,5,1,0,4,2
9,male,12,11,8,1,3,8,6,0,2
10,female,14,8,1,4,7,1,2,3,0
11,male,17,5,7,2,2,3,1,1,1
12,female,15,2,1,5,3,4,1,3,1
13,male,14,8,4,5,3,2,0,2,1
14,female,16,7,1,5,4,9,4,4,2
15,male,12,11,5,0,7,4,4,3,1
16,female,4,9,6,1,1,6,4,3,2
17,male,12,8,6,3,7,2,4,1,0
18,female,12,8,9,1,3,5,2,0,3
19,female,6,5,9,6,4,1,4,4,3
20,female,14,5,1,6,4,5,0,1,0
21,male,11,4,1,4,1,0,6,1,3
22,female,19,7,4,5,6,4,1,2,2
23,male,6,10,2,0,1,6,0,2,1
24,female,6,11,3,0,2,3,4,1,0
25,male,6,2,1,6,4,8,2,1,2
26,female,10,6,8,4,6,8,3,3,0
27,male,7,10,3,3,2,7,1,2,3
28,female,16,8,0,6,6,6,4,3,1
29,male,1,2,1,5,1,3,4,2,2
30,male,17,4,1,5,1,5,5,3,3
31,male,18,6,2,0,3,6,5,1,0
32,male,4,4,1,2,1,5,5,1,2
33,female,17,9,6,3,0,0,4,1,3
34,female,8,1,5,1,6,1,5,3,1
35,female,7,2,9,2,0,5,6,1,2
36,male,6,4,2,2,3,6,6,0,2
37,male,14,5,5,3,3,1,2,3,0
38,female,8,9,0,2,2,5,3,0,0
39,female,1,7,6,3,4,4,3,4,1
40,male,3,9,7,0,2,2,0,4,2
41,male,10,4,3,1,7,4,4,1,2
42,male,15,11,8,3,6,1,3,2,2
43,male,12,11,6,4,5,5,2,3,2
44,male,6,8,5,0,2,5,4,2,3
45,female,9,10,3,5,5,2,3,1,3
46,male,8,7,7,6,1,8,2,0,2
47,female,3,9,4,3,4,5,0,3,0
48,male,8,5,9,3,1,1,1,4,1
49,male,18,8,7,5,2,3,6,1,1
50,male,10,5,8,3,5,8,0,1,1
51,female,16,7,9,2,6,0,6,0,3
52,female,19,6,0,5,3,0,4,2,3
53,male,18,10,7,5,6,9,0,4,0
54,female,14,2,3,0,1,3,2,4,1
55,male,2,7,7,6,6,3,4,2,1
56,female,14,6,4,0,1,7,1,4,2
57,female,8,11,3,2,7,3,3,2,3
58,male,13,4,7,3,2,9,4,4,3
59,female,6,9,5,7,1,2,0,1,1
60,male,8,5,8,6,5,7,6,1,1
61,female,9,8,7,7,1,3,4,3,1
62,male,14,7,0,5,1,6,4,4,2
63,male,19,6,4,6,4,8,3,1,0
64,male,15,10,2,2,4,0,3,4,1
65,male,3,1,3,1,0,3,4,3,0
66,female,0,10,7,6,4,8,2,4,3
67,female,4,11,7,0,7,8,3,0,3
68,female,6,6,8,4,3,0,2,0,1
69,male,14,6,0,1,1,2,1,4,0
70,female,16,7,7,1,2,7,1,4,0
71,male,12,0,9,4,1,5,3,3,1
72,male,16,4,7,6,4,1,1,0,2
73,female,3,1,4,1,5,1,1,1,0
74,male,12,6,9,5,5,3,0,1,3
75,male,2,4,8,5,2,6,1,4,3
76,female,15,8,8,4,6,2,6,1,3
77,male,4,10,8,2,3,6,2,1,3
78,female,15,9,6,7,5,0,3,0,0
79,female,18,3,7,3,2,6,0,0,1
80,male,2,9,1,3,7,7,2,0,2
81,male,6,6,1,3,3,8,2,3,0
82,female,1,1,5,5,2,3,2,0,1
83,female,3,7,6,7,4,2,4,3,1
84,female,12,9,7,1,4,1,2,3,0
85,male,10,9,0,3,4,1,0,3,0
86,female,2,10,4,1,7,1,4,1,2
87,male,3,3,3,4,6,6,2,0,3
88,male,6,0,4,7,0,4,5,3,0
89,female,14,9,2,4,0,8,6,1,0
90,female,3,10,4,1,6,4,6,4,0
91,male,18,2,6,4,0,4,1,1,2
92,male,15,10,3,4,5,5,1,1,1
93,female,18,2,8,2,3,6,2,0,3
94,female,11,10,1,3,5,0,4,1,3
95,female,9,6,0,5,6,5,1,1,2
96,male,9,4,8,2,2,5,5,2,0
97,male,7,5,6,7,0,7,6,4,3
98,male,8,0,4,0,3,1,0,3,1
99,male,7,6,0,6,4,4,3,4,2
100,male,9,6,4,4,0,7,6,2,0
101,male,15,0,9,5,3,2,1,0,2
102,male,0,2,1,0,6,8,1,0,3
103,female,9,10,3,1,5,4,0,1,2
104,male,7,6,2,7,2,4,2,1,2
105,female,9,2,9,5,0,7,6,1,3
106,female,3,8,5,4,7,3,1,4,1
107,female,11,2,4,6,7,5,4,1,2
108,female,9,11,2,2,5,9,2,0,2
109,male,11,8,3,4,7,8,2,1,3
110,female,4,11,4,1,3,3,1,0,3
111,male,19,7,2,2,1,7,2,4,2
112,female,17,1,0,5,2,5,2,0,3
113,female,13,5,9,4,0,3,6,1,3
114,female,0,11,0,0,6,1,6,3,0
115,male,4,0,1,4,0,3,6,3,0
116,female,17,11,9,2,4,1,2,2,2
117,male,11,7,2,5,4,0,5,4,1
118,female,16,0,7,3,0,9,2,2,3
119,female,15,6,0,2,7,6,2,2,3
120,male,19,1,1,6,1,6,4,3,3
121,male,14,0,6,1,4,8,1,0,0
