TID,Sex,Price,Category,Color,Size,Brand,Material,Origin,Sales_channel,Season,s/n
0,female,400,shoes,blue,XXXL,NET,silk,Japan,amazon,spring,fail
1,male,2000,coat,pink,XSS,H&M,rayon,Canada,Adidas,winter,fail
2,male,1000,jack,green,S,Zara,acetate,America,Storefront,winter,fail
3,female,1600,jack,green,XXL,H&M,lycra,America,Storefront,fall,fail
4,male,100,garter,white,XSS,NET,rayon,Canada,Storefront,spring,sell
5,female,300,uniforms,pink,L,Adidas,spandex,America,Storefront,spring,sell
6,female,2000,garter,pink,L,Unique,lycra,Japan,Storefront,summer,fail
7,male,1700,pants,black,M,NET,spandex,America,Adidas,winter,sell
8,male,200,shirt,green,S,Adidas,lycra,Korea,amazon,summer,sell
9,female,1700,louse,purple,S,NIKE,spandex,Korea,amazon,fall,sell
10,female,700,dress,orange,S,NIKE,rayon,Canada,Storefront,spring,sell
11,male,1300,garter,white,M,Zara,linen,Taiwan,Internet,winter,sell
12,female,600,jack,Brown,L,NIKE,nylon,Canada,Internet,summer,fail
13,male,500,suit,red,XL,Adidas,cotton,Europe,amazon,summer,fail
14,female,1200,suit,yellow,L,GU,cotton,Taiwan,amazon,spring,fail
15,female,400,suit,blue,S,NIKE,nylon,China,Adidas,fall,sell
16,male,800,dress,white,XXXL,NIKE,rayon,Korea,amazon,winter,sell
17,female,500,shoes,green,XS,NET,linen,China,Adidas,spring,fail
18,female,2000,garter,white,XL,GU,acrylic,Canada,amazon,winter,fail
19,female,800,pants,red,S,GAP,rayon,China,Adidas,fall,sell
20,female,300,sweater,red,M,NET,linen,Korea,Storefront,spring,sell
21,male,1800,vest,green,XL,GAP,nylon,Korea,amazon,summer,sell
22,male,900,shoes,black,XL,H&M,acetate,Korea,shopee,fall,fail
23,female,200,uniforms,Brown,M,Zara,lycra,China,shopee,winter,sell
24,female,300,garter,blue,M,NIKE,acetate,Europe,shopee,spring,sell
25,female,800,dress,blue,XSS,NET,nylon,Canada,shopee,summer,sell
26,female,1100,louse,yellow,M,GAP,acetate,Europe,shopee,winter,fail
27,male,1200,louse,white,M,NIKE,lycra,America,Storefront,winter,sell
28,female,2000,vest,Brown,XXL,NIKE,linen,Europe,Adidas,fall,fail
29,male,1100,shoes,yellow,S,H&M,lycra,America,Internet,spring,fail
30,female,400,garter,black,S,NET,cotton,Canada,Storefront,summer,sell
31,male,500,louse,Brown,XS,Zara,acetate,Canada,Adidas,fall,fail
32,male,1400,garter,blue,XL,Unique,lycra,Europe,Internet,spring,sell
33,female,200,pants,Brown,M,H&M,acetate,Japan,amazon,fall,sell
34,female,100,shoes,pink,L,GAP,polyester,Japan,amazon,winter,sell
35,male,300,uniforms,orange,XXXL,Adidas,lycra,Korea,Internet,fall,fail
36,male,1300,shirt,pink,XL,H&M,cotton,Taiwan,Storefront,spring,sell
37,female,1000,suit,red,M,GU,acetate,Taiwan,Adidas,fall,fail
38,male,600,louse,black,M,NET,acetate,America,Storefront,winter,fail
39,female,500,suit,orange,XXL,H&M,linen,Europe,Storefront,spring,fail
40,female,1500,coat,purple,M,GAP,acrylic,America,Adidas,spring,fail
41,male,100,shirt,yellow,L,GU,spandex,America,amazon,fall,sell
42,female,400,vest,orange,XXXL,Zara,cotton,China,shopee,fall,sell
43,male,1100,pants,white,XS,H&M,acetate,Europe,shopee,summer,sell
44,female,700,garter,purple,XSS,Unique,polyester,Taiwan,Internet,winter,fail
45,male,2000,jack,Brown,XL,GAP,polyester,America,Storefront,spring,fail
46,female,1700,pants,green,XXL,H&M,nylon,Japan,amazon,fall,fail
47,female,1000,jack,white,XSS,H&M,spandex,Canada,amazon,fall,fail
48,male,1000,dress,red,XS,NET,nylon,Europe,shopee,spring,fail
49,female,900,uniforms,white,S,Zara,nylon,America,amazon,summer,sell
50,male,1700,dress,purple,L,GAP,nylon,Europe,shopee,summer,sell
51,female,1800,suit,pink,XSS,NIKE,lycra,Japan,Storefront,winter,fail
52,female,1800,louse,pink,XXXL,H&M,silk,America,Storefront,fall,fail
53,male,1000,vest,white,S,Unique,acetate,Korea,Adidas,winter,sell
54,female,400,jack,purple,M,Zara,nylon,Taiwan,Adidas,fall,sell
55,female,2000,shirt,yellow,XL,Adidas,rayon,Europe,Internet,summer,sell
56,male,1900,sweater,purple,XXL,Unique,polyester,Taiwan,Internet,winter,sell
57,male,800,vest,black,XSS,NIKE,silk,Japan,amazon,fall,sell
58,male,2000,louse,black,XSS,Zara,lycra,Canada,amazon,fall,fail
59,male,1200,vest,Brown,XSS,Unique,acetate,Europe,shopee,fall,sell
60,female,700,garter,black,XXXL,Zara,linen,China,shopee,spring,sell
61,female,1200,coat,green,L,Adidas,cotton,Japan,amazon,winter,fail
62,male,1800,louse,yellow,XXXL,Zara,lycra,China,Adidas,winter,fail
63,male,1900,shoes,black,XXXL,NIKE,nylon,Europe,Internet,fall,fail
64,male,600,louse,orange,XSS,H&M,spandex,America,Adidas,winter,fail
65,male,1000,dress,red,L,GAP,lycra,Taiwan,amazon,spring,sell
66,female,100,dress,red,L,GU,linen,Japan,shopee,summer,sell
67,male,1900,uniforms,Brown,XSS,Adidas,polyester,Europe,Internet,spring,fail
68,male,500,jack,green,L,GU,silk,China,amazon,summer,sell
69,male,900,dress,orange,S,Unique,linen,China,amazon,summer,sell
70,female,1300,dress,yellow,XXXL,Adidas,acetate,China,shopee,fall,sell
71,female,1200,shirt,white,L,Unique,silk,Europe,Internet,winter,fail
