TID,Sex,Price,Category,Color,Size,Brand,Material,Origin,Sales_channel,Season,s/n
0,0,3,7,2,7,4,8,4,3,1,0
1,1,19,0,5,5,3,7,1,0,3,0
2,1,9,3,3,2,7,0,0,2,3,0
3,0,15,3,3,6,3,4,0,2,0,0
4,1,0,2,8,5,4,7,1,2,1,1
5,0,2,10,5,0,0,9,0,2,1,1
6,0,19,2,5,0,6,4,4,2,2,0
7,1,16,5,1,1,4,9,0,0,3,1
8,1,1,6,3,2,0,4,5,3,2,1
9,0,16,4,6,2,5,9,5,3,0,1
10,0,6,1,4,2,5,7,1,2,1,1
11,1,12,2,8,1,7,3,6,1,3,1
12,0,5,3,0,0,5,5,1,1,2,0
13,1,4,8,7,3,0,2,3,3,2,0
14,0,11,8,9,0,2,2,6,3,1,0
15,0,3,8,2,2,5,5,2,0,0,1
16,1,7,1,8,7,5,7,5,3,3,1
17,0,4,7,3,4,4,3,2,0,1,0
18,0,19,2,8,3,2,1,1,3,3,0
19,0,7,5,7,2,1,7,2,0,0,1
20,0,2,9,7,1,4,3,5,2,1,1
21,1,17,11,3,3,1,5,5,3,2,1
22,1,8,7,1,3,3,0,5,4,0,0
23,0,1,10,0,1,7,4,2,4,3,1
24,0,2,2,2,1,5,0,3,4,1,1
25,0,7,1,2,5,4,5,1,4,2,1
26,0,10,4,9,1,1,0,3,4,3,0
27,1,11,4,8,1,5,4,0,2,3,1
28,0,19,11,0,6,5,3,3,0,0,0
29,1,10,7,9,2,3,4,0,1,1,0
30,0,3,2,1,2,4,2,1,2,2,1
31,1,4,4,0,4,7,0,1,0,0,0
32,1,13,2,2,3,6,4,3,1,1,1
33,0,1,5,0,1,3,0,4,3,0,1
34,0,0,7,5,0,1,6,4,3,3,1
35,1,2,10,4,7,0,4,5,1,0,0
36,1,12,6,5,3,3,2,6,2,1,1
37,0,9,8,7,1,2,0,6,0,0,0
38,1,5,4,1,1,4,0,0,2,3,0
39,0,4,8,4,6,3,3,3,2,1,0
40,0,14,0,6,1,1,1,0,0,1,0
41,1,0,6,9,0,2,9,0,3,0,1
42,0,3,11,4,7,7,2,2,4,0,1
43,1,10,5,8,4,3,0,3,4,2,1
44,0,6,2,6,5,6,6,6,1,3,0
45,1,19,3,0,3,1,6,0,2,1,0
46,0,16,5,3,6,3,5,4,3,0,0
47,0,9,3,8,5,3,9,1,3,0,0
48,1,9,1,7,4,4,5,3,4,1,0
49,0,8,10,8,2,7,5,0,3,2,1
50,1,16,1,6,0,1,5,3,4,2,1
51,0,17,8,5,5,5,4,4,2,3,0
52,0,17,4,5,7,3,8,0,2,0,0
53,1,9,11,8,2,6,0,5,0,3,1
54,0,3,3,6,1,7,5,6,0,0,1
55,0,19,6,9,3,0,7,3,1,2,1
56,1,18,9,6,6,6,6,6,1,3,1
57,1,7,11,1,5,5,8,4,3,0,1
58,1,19,4,1,5,7,4,1,3,0,0
59,1,11,11,0,5,6,0,3,4,0,1
60,0,6,2,1,7,7,3,2,4,1,1
61,0,11,0,3,0,0,2,4,3,3,0
62,1,17,4,9,7,7,4,2,0,3,0
63,1,18,7,1,7,5,5,3,1,0,0
64,1,5,4,4,5,3,9,0,0,3,0
65,1,9,1,7,0,1,4,6,3,1,1
66,0,0,1,7,0,2,3,4,4,2,1
67,1,18,10,0,5,0,6,3,1,1,0
68,1,4,3,3,0,2,8,2,3,2,1
69,1,8,1,4,2,6,3,2,3,2,1
70,0,12,1,9,7,0,0,2,4,0,1
71,0,11,6,8,0,6,8,3,1,3,0
72,0,2,11,4,1,4,2,1,4,0,1
73,0,14,1,2,1,7,7,6,0,1,1
74,0,1,6,7,6,7,0,4,1,0,1
75,0,7,10,0,2,5,5,3,4,3,1
76,1,18,7,8,1,3,2,3,1,3,1
77,0,9,8,0,7,2,0,1,1,3,0
78,0,14,6,4,6,0,9,1,1,0,0
79,1,1,11,4,7,6,0,4,1,3,1
80,0,6,3,3,6,0,5,4,1,3,0
81,0,3,0,3,7,0,3,1,0,3,0
82,0,11,4,1,0,3,6,2,1,0,0
83,1,16,11,0,1,5,2,6,1,3,1
84,1,8,8,8,7,3,9,1,4,0,1
85,1,9,5,7,1,4,4,3,4,1,1
86,0,6,0,6,5,4,1,5,1,2,1
87,0,17,10,7,5,2,3,5,1,2,1
88,0,19,10,3,4,4,7,6,1,0,1
89,1,13,11,6,4,4,8,0,2,2,1
90,1,17,7,4,2,0,5,1,1,3,0
91,1,6,2,2,0,3,9,6,3,0,1
92,1,0,9,1,7,1,0,0,3,2,1
93,0,0,3,3,5,0,2,3,0,2,1
94,1,0,3,3,5,4,5,6,0,3,1
95,0,7,4,0,6,6,9,3,0,3,0
96,0,6,7,9,1,0,0,6,4,1,0
97,0,18,7,2,5,0,0,4,3,0,0
98,0,0,8,3,1,6,8,1,3,1,1
99,0,18,2,1,7,5,5,0,3,0,0
100,0,15,1,4,3,7,0,0,3,3,1
101,1,18,8,4,1,1,7,4,0,2,0
102,1,17,4,0,0,4,0,6,0,0,1
103,0,7,3,9,0,6,7,6,2,2,1
104,1,15,5,2,7,4,6,2,3,0,1
105,0,3,9,1,7,3,5,1,4,3,0
106,1,14,7,6,7,4,0,0,0,1,0
107,0,3,8,1,3,6,1,5,0,3,1
108,1,15,11,5,1,0,9,6,3,3,1
109,1,19,9,3,7,7,6,6,1,1,1
110,1,8,11,6,7,3,9,2,1,1,1
111,0,4,0,4,0,5,2,6,3,0,0
112,0,0,11,3,1,1,9,3,1,3,1
113,0,7,1,2,7,0,0,2,0,0,1
114,0,19,7,3,3,4,1,4,0,0,0
115,1,15,11,1,3,5,2,1,3,2,1
116,1,15,1,3,0,6,1,4,1,1,1
117,0,14,7,3,6,2,3,2,0,0,0
118,1,13,6,9,0,0,4,6,0,1,1
119,0,7,7,6,5,1,0,0,0,0,0
120,1,7,6,7,7,2,1,4,1,3,0
121,1,9,11,3,2,5,5,0,3,0,1
122,1,10,3,7,1,5,1,0,1,1,0
123,1,19,0,7,2,5,0,4,0,1,0
124,1,4,0,3,4,2,3,3,1,3,0
125,0,6,9,8,0,4,1,6,4,2,0
126,1,13,5,1,3,2,1,4,1,2,1
127,1,19,5,9,5,4,4,5,1,3,1
128,1,10,9,3,3,6,7,6,4,1,1
129,1,9,5,9,1,7,9,2,3,3,1
130,1,8,11,9,7,2,0,4,3,3,1
131,0,11,1,7,3,2,0,6,2,1,1
132,0,10,4,3,4,1,3,6,2,3,0
133,1,1,3,9,6,6,8,1,3,0,1
134,1,19,11,5,1,6,5,6,3,3,1
135,1,9,9,0,7,5,0,0,2,0,0
136,1,11,2,4,7,2,2,4,2,0,0
137,1,15,6,2,1,5,0,1,1,1,0
138,0,13,5,0,3,5,7,4,0,2,1
139,0,16,10,0,1,4,4,6,3,0,0
140,1,0,2,6,4,1,4,5,3,3,1
141,1,11,1,1,2,4,0,6,0,2,1
142,1,8,4,3,0,7,1,0,3,1,1
143,0,17,2,7,6,1,8,3,0,1,0
144,0,6,3,4,3,4,2,2,1,3,0
145,0,19,3,2,0,1,5,3,4,1,0
146,0,7,7,6,5,5,4,3,3,1,0
147,1,1,3,8,0,3,3,1,3,3,1
148,1,15,8,8,3,3,6,6,0,3,1
149,0,0,8,4,0,7,9,1,2,3,1
150,0,5,10,8,2,6,1,1,1,1,1
151,0,3,1,4,6,6,6,2,4,2,1
152,1,14,4,3,5,7,8,1,4,2,0
153,1,17,8,5,3,6,4,6,1,2,1
154,1,14,1,4,4,5,4,0,0,0,0
155,1,17,8,3,4,6,2,4,3,1,1
156,0,12,2,7,0,4,8,2,0,2,0
157,0,14,0,7,7,4,1,0,2,0,0
158,1,9,7,1,7,3,4,5,0,1,0
159,0,18,9,3,6,1,4,4,2,1,0
