TID,Sex,Price,Category,Color,Size,Brand,Material,Origin,Sales_channel,Season,s/n
0,0,17,8,3,2,7,0,4,1,2,1
1,0,10,5,4,0,4,6,2,3,3,0
2,0,8,9,2,0,6,2,5,2,2,1
3,1,11,6,2,5,7,8,3,2,0,0
4,0,12,6,7,1,2,9,0,2,2,0
5,1,1,2,8,6,3,5,2,3,1,1
6,0,13,0,4,0,4,3,5,0,0,1
7,0,0,11,6,6,4,7,4,3,2,1
8,0,2,7,7,3,1,0,6,1,3,1
9,1,5,6,3,4,1,1,2,3,3,0
10,1,16,7,5,1,1,8,2,4,0,0
11,1,9,10,5,7,4,8,0,2,3,0
12,0,11,1,2,4,3,6,2,2,2,1
13,1,14,3,7,0,3,9,5,3,2,1
14,0,18,4,7,0,3,2,0,1,2,0
15,1,11,10,2,0,1,2,5,3,2,1
16,1,6,1,5,2,1,4,4,1,3,0
17,1,5,11,6,0,4,3,3,1,2,1
18,0,11,9,2,7,3,3,1,4,0,0
19,0,5,2,8,1,5,1,2,0,1,0
20,1,0,10,2,7,1,4,1,0,1,1
21,1,6,11,4,7,6,5,1,2,0,1
22,1,2,0,6,2,1,3,1,2,2,0
23,0,9,2,3,4,0,0,0,1,0,0
24,1,5,4,3,0,3,9,0,4,0,1
25,1,5,6,5,6,4,9,2,2,3,0
26,0,6,0,2,5,3,7,0,0,0,1
27,0,10,1,3,6,5,1,4,1,1,1
28,1,14,7,0,7,2,9,3,4,2,0
29,0,14,1,4,5,6,0,5,3,2,1
30,0,14,5,1,1,0,6,1,0,2,0
31,0,15,9,5,6,6,5,2,0,2,0
32,0,15,2,9,5,1,4,3,2,2,0
33,0,19,4,6,4,4,4,0,1,2,0
34,1,8,1,0,7,0,0,3,3,0,0
35,0,16,2,4,7,2,8,0,2,3,0
36,1,14,9,0,7,6,1,2,0,1,1
37,1,6,7,1,5,0,0,3,2,3,0
38,1,2,1,5,2,1,2,1,1,1,0
39,0,14,0,0,3,3,8,1,1,3,0
40,0,2,5,6,3,4,7,4,2,0,1
41,0,1,10,1,2,5,2,3,2,3,1
42,1,19,6,6,4,0,6,4,3,1,0
43,1,11,2,5,3,7,6,4,1,2,0
44,1,11,1,4,2,0,2,3,2,1,0
45,1,15,7,0,3,6,5,2,0,0,1
46,0,7,0,3,2,1,6,4,1,2,1
47,0,13,8,0,6,1,4,6,4,3,0
48,0,16,8,4,7,7,9,2,1,0,1
49,1,5,3,4,4,5,8,3,1,1,0
50,1,12,2,7,1,5,1,0,4,3,0
51,1,7,1,5,3,7,7,6,0,2,1
52,0,3,7,2,5,0,9,1,2,1,0
53,1,1,1,5,6,6,8,4,2,2,1
54,1,10,7,0,6,4,6,5,4,3,0
55,1,0,7,8,2,1,1,5,2,1,1
56,0,12,4,8,5,0,3,3,4,0,0
57,0,16,3,3,5,3,1,1,3,3,0
58,0,14,0,5,7,0,2,3,3,3,0
59,0,10,5,2,3,3,8,4,3,3,0
60,1,11,11,8,4,3,3,0,3,2,1
61,0,1,3,4,4,0,1,5,1,0,1
62,1,15,9,0,5,0,3,0,4,1,0
63,0,4,3,3,4,4,4,0,1,1,0
64,0,5,6,2,6,3,5,3,3,0,0
65,0,9,8,0,3,5,5,4,4,0,0
66,1,13,7,6,6,6,5,4,2,1,1
67,1,19,4,7,6,6,3,2,0,1,1
68,0,17,10,3,2,3,9,3,3,2,1
69,0,16,1,4,2,5,7,2,1,1,1
70,0,11,5,8,5,2,1,4,2,0,0
71,1,3,4,1,7,2,1,2,3,1,0
72,0,3,8,3,3,2,4,3,2,3,0
73,0,18,4,1,4,4,7,0,0,3,1
74,1,7,8,2,6,5,7,5,3,2,0
75,1,16,1,6,7,1,7,4,1,1,0
76,0,12,6,0,3,4,7,1,2,3,1
77,1,4,2,5,6,0,0,6,4,1,1
78,1,18,6,7,4,0,3,5,4,2,0
79,0,2,9,8,6,0,2,5,4,2,1
80,0,2,4,6,4,1,4,5,2,1,1
81,1,7,10,4,4,7,3,3,2,0,0
82,1,13,10,5,3,6,0,4,0,3,1
83,1,8,8,4,5,4,0,3,4,3,0
84,0,11,6,9,0,1,6,4,3,0,0
85,1,8,4,8,1,0,3,0,4,1,1
86,0,6,7,7,7,3,8,6,0,3,0
87,1,8,2,2,2,3,5,1,1,2,0
88,1,1,9,4,6,4,8,1,1,3,1
89,0,17,2,8,2,4,0,5,0,0,1
90,1,7,5,8,7,5,2,1,3,2,1
91,1,18,9,6,6,5,3,6,3,1,1
92,0,16,4,2,7,6,6,3,4,2,0
93,1,16,6,0,2,2,3,2,0,3,0
94,0,9,1,2,5,7,7,6,2,1,1
95,1,10,6,2,7,5,2,0,4,2,0
96,1,18,7,2,6,4,7,0,2,2,0
97,1,6,3,9,7,2,0,3,0,2,0
98,1,3,4,4,4,2,9,1,1,3,0
99,1,12,3,5,4,5,3,6,2,3,1
100,0,16,5,0,6,2,0,0,0,2,0
101,1,6,8,4,1,4,1,6,4,0,1
102,1,7,0,0,2,2,5,0,2,3,0
103,1,1,6,2,5,7,2,6,2,1,1
104,0,9,4,6,6,5,6,5,2,0,1
