TID,Sex,Price,Category,Color,Size,Brand,Material,Origin,Sales_channel,Season
0,female,17,8,3,2,7,0,4,1,2
1,female,10,5,4,0,4,6,2,3,3
2,female,8,9,2,0,6,2,5,2,2
3,male,11,6,2,5,7,8,3,2,0
4,female,12,6,7,1,2,9,0,2,2
5,male,1,2,8,6,3,5,2,3,1
6,female,13,0,4,0,4,3,5,0,0
7,female,0,11,6,6,4,7,4,3,2
8,female,2,7,7,3,1,0,6,1,3
9,male,5,6,3,4,1,1,2,3,3
10,male,16,7,5,1,1,8,2,4,0
11,male,9,10,5,7,4,8,0,2,3
12,female,11,1,2,4,3,6,2,2,2
13,male,14,3,7,0,3,9,5,3,2
14,female,18,4,7,0,3,2,0,1,2
15,male,11,10,2,0,1,2,5,3,2
16,male,6,1,5,2,1,4,4,1,3
17,male,5,11,6,0,4,3,3,1,2
18,female,11,9,2,7,3,3,1,4,0
19,female,5,2,8,1,5,1,2,0,1
20,male,0,10,2,7,1,4,1,0,1
21,male,6,11,4,7,6,5,1,2,0
22,male,2,0,6,2,1,3,1,2,2
23,female,9,2,3,4,0,0,0,1,0
24,male,5,4,3,0,3,9,0,4,0
25,male,5,6,5,6,4,9,2,2,3
26,female,6,0,2,5,3,7,0,0,0
27,female,10,1,3,6,5,1,4,1,1
28,male,14,7,0,7,2,9,3,4,2
29,female,14,1,4,5,6,0,5,3,2
30,female,14,5,1,1,0,6,1,0,2
31,female,15,9,5,6,6,5,2,0,2
32,female,15,2,9,5,1,4,3,2,2
33,female,19,4,6,4,4,4,0,1,2
34,male,8,1,0,7,0,0,3,3,0
35,female,16,2,4,7,2,8,0,2,3
36,male,14,9,0,7,6,1,2,0,1
37,male,6,7,1,5,0,0,3,2,3
38,male,2,1,5,2,1,2,1,1,1
39,female,14,0,0,3,3,8,1,1,3
40,female,2,5,6,3,4,7,4,2,0
41,female,1,10,1,2,5,2,3,2,3
42,male,19,6,6,4,0,6,4,3,1
43,male,11,2,5,3,7,6,4,1,2
44,male,11,1,4,2,0,2,3,2,1
45,male,15,7,0,3,6,5,2,0,0
46,female,7,0,3,2,1,6,4,1,2
47,female,13,8,0,6,1,4,6,4,3
48,female,16,8,4,7,7,9,2,1,0
49,male,5,3,4,4,5,8,3,1,1
50,male,12,2,7,1,5,1,0,4,3
51,male,7,1,5,3,7,7,6,0,2
52,female,3,7,2,5,0,9,1,2,1
53,male,1,1,5,6,6,8,4,2,2
54,male,10,7,0,6,4,6,5,4,3
55,male,0,7,8,2,1,1,5,2,1
56,female,12,4,8,5,0,3,3,4,0
57,female,16,3,3,5,3,1,1,3,3
58,female,14,0,5,7,0,2,3,3,3
59,female,10,5,2,3,3,8,4,3,3
60,male,11,11,8,4,3,3,0,3,2
61,female,1,3,4,4,0,1,5,1,0
62,male,15,9,0,5,0,3,0,4,1
63,female,4,3,3,4,4,4,0,1,1
64,female,5,6,2,6,3,5,3,3,0
65,female,9,8,0,3,5,5,4,4,0
66,male,13,7,6,6,6,5,4,2,1
67,male,19,4,7,6,6,3,2,0,1
68,female,17,10,3,2,3,9,3,3,2
69,female,16,1,4,2,5,7,2,1,1
70,female,11,5,8,5,2,1,4,2,0
71,male,3,4,1,7,2,1,2,3,1
72,female,3,8,3,3,2,4,3,2,3
73,female,18,4,1,4,4,7,0,0,3
74,male,7,8,2,6,5,7,5,3,2
75,male,16,1,6,7,1,7,4,1,1
76,female,12,6,0,3,4,7,1,2,3
77,male,4,2,5,6,0,0,6,4,1
78,male,18,6,7,4,0,3,5,4,2
79,female,2,9,8,6,0,2,5,4,2
80,female,2,4,6,4,1,4,5,2,1
81,male,7,10,4,4,7,3,3,2,0
82,male,13,10,5,3,6,0,4,0,3
83,male,8,8,4,5,4,0,3,4,3
84,female,11,6,9,0,1,6,4,3,0
85,male,8,4,8,1,0,3,0,4,1
86,female,6,7,7,7,3,8,6,0,3
87,male,8,2,2,2,3,5,1,1,2
88,male,1,9,4,6,4,8,1,1,3
89,female,17,2,8,2,4,0,5,0,0
90,male,7,5,8,7,5,2,1,3,2
91,male,18,9,6,6,5,3,6,3,1
92,female,16,4,2,7,6,6,3,4,2
93,male,16,6,0,2,2,3,2,0,3
94,female,9,1,2,5,7,7,6,2,1
95,male,10,6,2,7,5,2,0,4,2
96,male,18,7,2,6,4,7,0,2,2
97,male,6,3,9,7,2,0,3,0,2
98,male,3,4,4,4,2,9,1,1,3
99,male,12,3,5,4,5,3,6,2,3
100,female,16,5,0,6,2,0,0,0,2
101,male,6,8,4,1,4,1,6,4,0
102,male,7,0,0,2,2,5,0,2,3
103,male,1,6,2,5,7,2,6,2,1
104,female,9,4,6,6,5,6,5,2,0
105,female,2,7,9,1,5,4,3,1,0
106,male,0,2,3,0,5,4,5,4,2
107,male,9,10,5,5,7,1,2,4,3
108,female,11,2,8,1,5,6,0,3,0
109,male,11,11,4,5,7,6,0,4,3
110,female,2,9,6,5,7,8,0,3,1
111,male,12,5,8,7,1,1,2,0,0
112,male,2,9,1,2,1,1,2,1,0
113,male,1,1,2,0,6,9,0,2,3
114,female,4,3,1,7,7,5,0,3,2
115,male,3,3,9,0,2,8,1,3,2
116,female,18,4,8,1,5,2,3,2,3
117,male,7,5,4,1,4,4,4,2,2
118,female,9,6,1,5,5,5,4,2,3
119,male,4,3,4,1,0,0,3,2,1
120,female,1,4,1,2,5,0,4,2,0
121,male,16,11,6,0,7,4,6,3,2
122,male,7,9,8,5,5,5,6,1,3
123,female,18,2,1,3,7,0,2,2,2
124,male,9,8,6,7,1,2,2,2,1
125,male,4,11,1,0,4,7,2,2,2
126,male,2,9,3,2,2,1,1,4,0
127,male,15,11,8,2,6,3,2,1,1
