TID,Sex,Price,Category,Color,Size,Brand,Material,Origin,Sales_channel,Season
0,female,400,shoes,blue,XXXL,NET,silk,Japan,amazon,spring
1,male,2000,coat,pink,XSS,H&M,rayon,Canada,Adidas,winter
2,male,1000,jack,green,S,Zara,acetate,America,Storefront,winter
3,female,1600,jack,green,XXL,H&M,lycra,America,Storefront,fall
4,male,100,garter,white,XSS,NET,rayon,Canada,Storefront,spring
5,female,300,uniforms,pink,L,Adidas,spandex,America,Storefront,spring
6,female,2000,garter,pink,L,Unique,lycra,Japan,Storefront,summer
7,male,1700,pants,black,M,NET,spandex,America,Adidas,winter
8,male,200,shirt,green,S,Adidas,lycra,Korea,amazon,summer
9,female,1700,louse,purple,S,NIKE,spandex,Korea,amazon,fall
10,female,700,dress,orange,S,NIKE,rayon,Canada,Storefront,spring
11,male,1300,garter,white,M,Zara,linen,Taiwan,Internet,winter
12,female,600,jack,Brown,L,NIKE,nylon,Canada,Internet,summer
13,male,500,suit,red,XL,Adidas,cotton,Europe,amazon,summer
14,female,1200,suit,yellow,L,GU,cotton,Taiwan,amazon,spring
15,female,400,suit,blue,S,NIKE,nylon,China,Adidas,fall
16,male,800,dress,white,XXXL,NIKE,rayon,Korea,amazon,winter
17,female,500,shoes,green,XS,NET,linen,China,Adidas,spring
18,female,2000,garter,white,XL,GU,acrylic,Canada,amazon,winter
19,female,800,pants,red,S,GAP,rayon,China,Adidas,fall
20,female,300,sweater,red,M,NET,linen,Korea,Storefront,spring
21,male,1800,vest,green,XL,GAP,nylon,Korea,amazon,summer
22,male,900,shoes,black,XL,H&M,acetate,Korea,shopee,fall
23,female,200,uniforms,Brown,M,Zara,lycra,China,shopee,winter
24,female,300,garter,blue,M,NIKE,acetate,Europe,shopee,spring
25,female,800,dress,blue,XSS,NET,nylon,Canada,shopee,summer
26,female,1100,louse,yellow,M,GAP,acetate,Europe,shopee,winter
27,male,1200,louse,white,M,NIKE,lycra,America,Storefront,winter
28,female,2000,vest,Brown,XXL,NIKE,linen,Europe,Adidas,fall
29,male,1100,shoes,yellow,S,H&M,lycra,America,Internet,spring
30,female,400,garter,black,S,NET,cotton,Canada,Storefront,summer
31,male,500,louse,Brown,XS,Zara,acetate,Canada,Adidas,fall
32,male,1400,garter,blue,XL,Unique,lycra,Europe,Internet,spring
